Scenario,PayloadKB,Run,TextGen_us,Tokenize_us,DPU_Total_us,RDMA_us,GPU_Compute_us
A,1,1,27.38,85.56,112.94,1027.77,31.39
B,1,1,27.55,0.00,27.55,31.61,8255.09
A,1,2,28.94,83.45,112.38,32.67,25.86
B,1,2,27.22,0.00,27.22,33.21,8254.81
A,1,3,28.85,85.33,114.17,33.83,29.97
B,1,3,27.40,0.00,27.40,34.46,8254.50
A,1,4,28.54,89.25,117.79,33.18,30.74
B,1,4,27.56,0.00,27.56,31.93,8240.68
A,1,5,28.42,88.87,117.29,36.10,33.11
B,1,5,29.01,0.00,29.01,33.27,8251.28
A,1,6,27.94,84.50,112.44,30.82,33.76
B,1,6,27.85,0.00,27.85,32.02,8251.92
A,1,7,28.48,87.64,116.11,34.96,34.82
B,1,7,27.29,0.00,27.29,34.34,8267.23
A,1,8,27.58,86.49,114.07,35.20,29.17
B,1,8,27.52,0.00,27.52,31.61,8260.28
A,1,9,27.87,90.67,118.54,30.84,30.14
B,1,9,27.25,0.00,27.25,32.65,8258.36
A,1,10,27.30,119.51,146.81,35.20,29.08
B,1,10,27.34,0.00,27.34,33.01,8276.74
A,2,1,56.40,163.56,219.96,33.60,31.60
B,2,1,55.91,0.00,55.91,107.68,8404.34
A,2,2,53.73,160.72,214.45,33.91,33.03
B,2,2,56.46,0.00,56.46,31.92,8410.27
A,2,3,55.22,154.68,209.90,34.23,31.26
B,2,3,53.82,0.00,53.82,36.05,8418.74
A,2,4,53.33,160.61,213.93,34.84,35.59
B,2,4,53.92,0.00,53.92,37.95,8423.04
A,2,5,53.80,163.59,217.38,32.20,32.10
B,2,5,53.69,0.00,53.69,34.40,8408.48
A,2,6,53.91,152.64,206.55,32.83,32.68
B,2,6,56.45,0.00,56.45,32.62,8402.94
A,2,7,54.07,169.17,223.24,31.92,31.84
B,2,7,53.13,0.00,53.13,32.26,8408.61
A,2,8,54.65,162.46,217.11,32.26,31.81
B,2,8,56.32,0.00,56.32,31.87,8413.06
A,2,9,55.89,156.49,212.38,32.10,32.06
B,2,9,53.72,0.00,53.72,32.72,8405.62
A,2,10,89.86,158.57,248.43,32.68,31.87
B,2,10,57.03,0.00,57.03,32.08,8404.90
A,4,1,106.23,282.20,388.44,35.53,37.95
B,4,1,106.94,0.00,106.94,29.78,8688.33
A,4,2,104.91,270.15,375.06,31.87,36.66
B,4,2,105.21,0.00,105.21,31.72,8690.84
A,4,3,106.26,277.66,383.92,35.63,36.81
B,4,3,111.46,0.00,111.46,31.68,8710.63
A,4,4,108.40,285.70,394.10,34.35,35.96
B,4,4,112.10,0.00,112.10,34.45,8690.95
A,4,5,106.29,285.15,391.44,34.16,37.91
B,4,5,108.67,0.00,108.67,30.32,8707.66
A,4,6,106.48,275.98,382.46,33.73,38.64
B,4,6,108.62,0.00,108.62,30.69,8708.14
A,4,7,111.36,276.95,388.31,37.13,36.90
B,4,7,108.78,0.00,108.78,33.23,8694.79
A,4,8,106.33,287.16,393.49,33.77,37.07
B,4,8,106.27,0.00,106.27,34.06,8721.07
A,4,9,108.45,300.15,408.60,38.32,38.22
B,4,9,109.05,0.00,109.05,32.27,8708.80
A,4,10,113.00,272.64,385.63,90.81,38.27
B,4,10,111.04,0.00,111.04,32.48,8707.80
A,8,1,211.91,526.27,738.18,29.65,46.36
B,8,1,221.37,0.00,221.37,33.67,9294.64
A,8,2,221.68,513.29,734.97,33.38,45.66
B,8,2,216.90,0.00,216.90,33.20,9297.82
A,8,3,222.34,506.04,728.37,39.01,46.11
B,8,3,209.01,0.00,209.01,73.65,9301.50
A,8,4,211.73,538.45,750.18,32.71,46.49
B,8,4,208.88,0.00,208.88,33.25,9298.02
A,8,5,210.97,531.92,742.90,34.38,50.08
B,8,5,215.68,0.00,215.68,33.16,9307.67
A,8,6,209.72,514.90,724.62,35.20,46.19
B,8,6,209.97,0.00,209.97,32.33,9297.65
A,8,7,216.27,518.62,734.89,34.93,54.68
B,8,7,216.78,0.00,216.78,31.31,9302.69
A,8,8,212.70,521.35,734.06,34.87,46.99
B,8,8,222.50,0.00,222.50,32.71,9292.24
A,8,9,222.13,541.18,763.32,35.47,45.54
B,8,9,209.37,0.00,209.37,34.46,9298.77
A,8,10,214.65,513.89,728.54,32.66,46.82
B,8,10,210.30,0.00,210.30,34.34,9299.60
A,16,1,417.24,937.72,1354.95,35.72,68.58
B,16,1,441.18,0.00,441.18,33.06,10539.44
A,16,2,417.16,945.21,1362.37,33.62,65.31
B,16,2,430.96,0.00,430.96,32.68,10525.99
A,16,3,440.83,1014.49,1455.32,33.60,65.62
B,16,3,440.86,0.00,440.86,35.67,10532.63
A,16,4,428.49,954.08,1382.56,41.14,67.29
B,16,4,441.73,0.00,441.73,31.07,10543.24
A,16,5,429.66,975.16,1404.83,33.09,65.48
B,16,5,417.62,0.00,417.62,31.43,10540.54
A,16,6,417.60,983.93,1401.53,35.01,115.53
B,16,6,431.04,0.00,431.04,32.74,10538.88
A,16,7,416.49,987.99,1404.48,33.52,65.62
B,16,7,440.81,0.00,440.81,33.01,10543.70
A,16,8,442.46,992.51,1434.98,34.44,66.00
B,16,8,420.31,0.00,420.31,32.10,10525.15
A,16,9,422.37,981.29,1403.66,34.31,66.35
B,16,9,416.39,0.00,416.39,34.47,10543.06
A,16,10,420.66,941.00,1361.66,35.20,67.24
B,16,10,431.75,0.00,431.75,33.01,10523.21
A,32,1,838.74,1869.14,2707.88,32.20,107.90
B,32,1,844.95,0.00,844.95,101.16,12974.78
A,32,2,846.54,1833.65,2680.19,33.65,107.38
B,32,2,904.79,0.00,904.79,33.31,12955.05
A,32,3,862.11,1865.04,2727.15,34.78,106.71
B,32,3,867.06,0.00,867.06,32.63,12966.04
A,32,4,851.84,1846.40,2698.25,32.00,109.61
B,32,4,846.24,0.00,846.24,30.60,12971.74
A,32,5,836.30,1811.20,2647.50,35.68,107.18
B,32,5,869.82,0.00,869.82,33.51,12966.87
A,32,6,838.84,1822.11,2660.95,34.40,108.10
B,32,6,838.16,0.00,838.16,33.92,12974.07
A,32,7,862.85,2157.19,3020.04,112.95,105.62
B,32,7,844.75,0.00,844.75,31.64,12968.06
A,32,8,845.13,1883.36,2728.49,33.18,106.45
B,32,8,867.20,0.00,867.20,31.81,12967.65
A,32,9,885.65,1815.38,2701.03,32.51,106.58
B,32,9,864.55,0.00,864.55,34.17,12956.44
A,32,10,862.45,1842.40,2704.85,35.95,108.93
B,32,10,846.17,0.00,846.17,30.23,12972.96
A,64,1,1779.16,3588.32,5367.48,34.06,14.24
B,64,1,1783.35,0.00,1783.35,31.54,6.37
A,64,2,1732.67,3578.70,5311.38,119.22,7.90
B,64,2,1678.90,0.00,1678.90,31.49,6.38
